name,url,author,publisher,date,price,rate,comment
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,张爱玲 , 花城出版社 , 1996-06 , 12.80元,8.4,蚊子血还是饭黏子？
巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 , 江苏凤凰文艺出版社 , 2016-5-1 , 129.80元,8.9,五个家族，一场战争
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,天下霸唱 , 安徽文艺出版社 , 2006 , 25.00元,8.1,盗墓祖师名不虚传
城南旧事,https://book.douban.com/subject/1254588/,林海音 文 , 中国青年出版社 , 2003-7 , 16.00元,9.0,长亭外，古道边，芳草碧连天
这些都是你给我的爱,https://book.douban.com/subject/4714734/,文：安东尼 , 长江文艺出版社 , 2010-3 , 24.80元,8.4,只言片语的温暖
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,乔一 , 湖南少年儿童出版社 , 2015-5-1 , 29.80元,8.0,一想到能和你共度余生，我就对余生充满期待
华胥引（全二册）,https://book.douban.com/subject/5916880/,唐七公子 , 现代出版社 , 2011-1 , 39.80元,8.4,现实不如梦中的圆满
半生缘,https://book.douban.com/subject/1963684/,张爱玲 , 北京十月文艺出版社 , 2006-12 , 28.00元,8.6,世钧，我们回不去了
阿Q正传,https://book.douban.com/subject/1088065/,鲁迅 著 , 上海书店出版社 , 2003-7 , 14.50元,8.7,哀其不幸，怒其不争
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真 , 译林出版社 , 2011-9 , 28.00元,8.8,平淡叙述下的惊心动魄
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,安东尼 , 长江文艺出版社 , 2008-3 , 18.00,8.3,真正的片段式写作
喜宝,https://book.douban.com/subject/2022979/,亦舒 , 新世界出版社 , 2007-2 , 22.00元,8.0,爱情才是终极的奢侈品
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸 , 生活·读书·新知三联书店 , 1999-04 , 47.00元,8.9,侠之大者，为国为民
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛 , 北京十月文艺出版社 , 2007-6 , 28.00元,8.8,哀而不伤
一个人的朝圣,https://book.douban.com/subject/24934182/,【英】蕾秋·乔伊斯 , 北京联合出版公司 , 2013-9-1 , 32.80,8.1,关于爱和信念的旅行
一只特立独行的猪,https://book.douban.com/subject/1767945/,王小波 , 北方文艺出版社 , 2006-4 , 18.80元,8.8,生活就是个缓慢受锤的过程，至少还可以特立独行
如何阅读一本书,https://book.douban.com/subject/1013208/,[美] 莫提默·J. 艾德勒 , 商务印书馆 , 2004-1 , 38.00元,8.4,读书的方法论
朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅 , 人民文学出版社 , 1972年4月 , 0.25元,8.7,鲁迅的旧事重提
格林童话全集,https://book.douban.com/subject/1043008/,[德国]格林兄弟 , 人民文学出版社 , 1994-11 , 21.45元,9.0,许多隐晦
地下铁,https://book.douban.com/subject/1056733/,幾米 , 辽宁教育出版社 , 2002-2 , 32.00元,8.3,黑暗世界中的点滴亮光
孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台 , 生活·读书·新知三联书店 , 2009-12-1 , 28.00元,8.8,我们现在怎样做母亲
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利 , 上海社会科学院出版社 , 2003-7 , 25.00元,8.6,日常的奇迹
刀锋,https://book.douban.com/subject/2035162/,[英]毛姆 , 上海译文出版社 , 2007-3 , 18.00元,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
